task_key,min_memory_mb,max_memory_mb
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 4, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 23, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 24, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 25, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 48, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 49, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 5, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 51, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 52, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 58, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 59, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 18, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 19, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 2, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 20, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 26, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 7, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 8, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 28, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 29, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 3, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 30, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 32, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 9, 0)",0,0
"('concatenate-80db5d179e75f376f0f7f1bdd19f128c', 33, 0)",0,0
"('array-7308ffe7fad194f8e423ac6c564a9774', 0)",342.5546875,342.5546875
"('array-18a46769ae79220bbdc48e1e453bb348', 0)",200.203125,200.203125
"('array-6cd22210448a458e66bdf906e6a3013b', 0)",337.3671875,337.3671875
"('array-1e2cbb83d4f0b827f91f3eb4e883f675', 0)",359.56640625,359.56640625
list-baed699e-d9c3-4b14-abeb-1349194e444b,347.890625,347.890625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 0)",391.6484375,548.16015625
"('dataframe-groupby-first-chunk-c178bea3285714c2f28c0cce8ddd3ca9-0ad5a9d6aca4d9d9ff3f96a01eca3bd6', 3)",353.60546875,2244.953125
